,Unnamed: 0,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
10,10,ericstevenson,Oddly good,8/10,29 November 2021,"The original film was known for being a classic comedy, but this really wasn't that much of a comedy. It seemed to take itself more seriously than the other ""Ghostbusters"" movies. This movie features the grandchildren of Egon (Harold Reamis) from the first movie finding out who he was in a town in Oklahoma. The movie really works as being particularly heartwarming in the very end. I'm not gonna lie when I say it could have been shorter. It also didn't quite have good pacing.It was really funny to see a bunch of tiny Stay-Puft Marshmellows appear as enemies instead of a giant one. Again, this reminds me of ""Gremlins"" as many movies do. We get some really colorful visuals and exciting scenes. It may lag on, but trust me when I say it's worth your time to watch it to the very end. Nothing can beat the original. While the previous film was ""Ghostbusters with Women"" this was more like ""Ghostbusters with Teenagers""...and it works better. ***
                
                    6 out of 7 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Ghostbusters: Afterlife
11,11,cricketbat,"It's like fan fiction, but good fan fiction.",7/10,23 November 2021,"Ghostbusters: Afterlife feels like it was written by a kid who was a fan of the original movie, imagining what it would be like to be a Ghostbuster. It's obvious the creators of this sequel love the first films. It hits all the right notes of nostalgia, so even when it hits a wrong key with a plot point or a joke, you don't really mind because the overall melody is pleasant. It's like fan fiction, but good fan fiction.
                
                    14 out of 20 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Ghostbusters: Afterlife
12,12,UniqueParticle,That hit the spot especially in RPX,9/10,18 November 2021,"I absolutely loved this Ghostbusters definitely better than 2016 mess! This has everything you'd want in the series with comedy, amazing cinematography, great story I even went with a friend and he noticed a few plot holes I didn't even realize it had some; I think everything was the way it should be. So much exciting bits that are feel good and has the perfect amount of surprises. I'm glad I got to see the advanced screening and I really hope the film gets the recognition it deserves!
                
                    135 out of 171 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Ghostbusters: Afterlife
13,13,cruise01,Fun ghost adventure with new characters and surprises.,7/10,20 November 2021,"3.5 out of 5 stars.Ghostbusters: Afterlife is a pretty fair supernatural comedy that continues after the original two films. Following decades later, on a single mother Callie (Carrie Coon) and her two children Trevor (Finn Wolfhard) and Phoebe (Mckenna Grace). They move into a old farmhouse after there grandfather has passed away and gave them the inheritance. Phoebe and Trevor discovering something hidden in the barn that goes back towards the original ghostbusters. While the town they have been living in has been experiencing earthquakes. And something sinister coming from the mountain in that town. Which Phoebe and Trevor discovering ghosts and gets help from Gary (Paul Rudd) who has been investigating the strange occurrences in the town.What worked? The film is a fresh sequel off from the original two films. It continues the story in a way. And has a lot of easter eggs and surprises that the original fans will love. It does not disappoint without giving much away. From previous characters to supernatural ghosts. It was a lot of fun with the script and direction bringing back and paying homage to the original.Mckenna Grace, Finn Wolfhard, and Carrie Coon were good playing new characters. Playing as a family who are forced to live in the farmhouse after struggling with debt and having nowhere to go. Paul Rudd is a fun addition playing Gary Grooberson, a school teacher. A teacher who skimps out on summer classes and just put horror movies on for his class mates. There are other fun cast members that makes surprises which is more fun to see for yourself.The visual effects are pretty decent and exciting. Seeing a ghost called Muncher who is similar to slimer. Plus the hellhounds are back. And more.The film does have some decent action sequences that put the family in a ghost adventure in trying to save the world from a forming apocalypse. The new mini marshmellow puff creatures were fun and entertaining.What did not work?The film does have a slow set up with the first act of the movie. Having the family move into the town. Despising there grandfather for having a weird reputation and falling apart farm house. Phoebe being awkward and trying to fit in at school. Trevor trying to get the girl he met at a burger place and fitting in with that group of friends. Callie falling for Gary Grooberson. Does have a slow moving direction for the first half of the movie. Picks up when the kids get the ghostbuster car and equipment.The second slight issue is the big threat that is set up is too easily resolved in the climax. It brings for a decent action scene but it is quickly resolved which ends abruptly.Overall, it is a pretty fair film and fun addition that will make fans happy to see.",Ghostbusters: Afterlife
14,14,DarkVulcan29,R.I.P. Harold Ramis,9/10,29 November 2021,"Feels like a Ghostbusters film with a little Stranger Things mixed in. I'd rather tell you too much about the story, cause I don't want to give too much away, but I gotta say it's a new Ghostbusters film with some feeling of nostalgia. The characters are a joy to watch, and the effects are pretty good also.I admire the film does pay homage To Harold Ramis who passed away in 2014. Who was co writing genius with Dan Aykroyd of the two Ghostbusters film. And a great director of such great comedy classics like Caddyshack(1980) and Groundhog Day(1992). He left quite an impact on the industry, forever a legend Harold Ramis (1944-2014)
                
                    0 out of 0 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Ghostbusters: Afterlife
15,15,stevendbeard,Tremendous Job,8/10,20 November 2021,"I saw ""Ghostbusters:Afterlife"", starring Mckenna Grace-Young Sheldon_tv, Captain Marvel; Finn Wolfhard-Stranger Things_tv, the It movies; Carrie Coon-the Avengers movies, Gone Girl and Paul Rudd-the Ant_Man movies, Our Idiot Brother.This is a sequel to the first two original Ghostbuster movies from 1984 & 1989, ignoring the 2016 female remake-thank goodness. The original Ghostbusters director was Ivan Reitman and here, it's his son Jason Reitman who does the directing and he does a tremendous job in mixing the old and the new. Carrie plays a single mother of Mckenna & Finn. Carrie has fallen on hard times financially-they are getting evicted from their apartment. It seems like a bit of luck is thrown their way when they inherit a farm from her deceased father-who left her family when she was young, so she barely knew him-but then they uncover secrets that change their lives forever. After settling in to the farm, ghosts start invading the town and causing trouble. Paul plays a local teacher that is curious about the strange earth quakes that have been hitting the town regularly-as well as the ghosts popping up-and he is also interested in Carrie romantically. The original Ghostbusters car makes a comeback, as well as Ernie Hudson, Dan Akyroyd, Bill Murray, Annie Potts and Sigourney Weaver-there is also a nice tribute to the late Harold Ramis, who passed away in 2014-and there are 2 scenes after the end credits to look for; one as the end credits start and the other is at the very end and both have original cast members in them.It's rated ""PG-13"" for supernatural action and has a running time of 2 hours & 4 minutes.I really enjoyed it and would buy it on Blu_Ray.",Ghostbusters: Afterlife
16,16,pixrox1,This film is sure to please youngsters and geezers alike . . .,8/10,24 November 2021,". . . as the first 90% or so of GHOSTBUSTERS: AFTERLIFE is devoted to the former demographic, and the final 10% of this flick's running time caters to the latter age group. New wrinkles include an androgynous kid protagonist, as Phoebe keeps viewers guessing for about 56 minutes, until her mom finally lets the cat out of the bag, so to speak. Though some might quibble that her first name should be a dead giveaway, in this Our Modern 21st Century, viewers cannot simply assume Traditional spellings for the common nouns they hear still apply in the absence of subtitles; ETERNALS provides recent proof for that. Speaking of that comic book flick marvel, this iteration of GHOSTBUSTERS seems to be only about half as long, though in actuality it's just 40 or 45 minutes shorter. However, this movie is better than that visual effects marvel, especially if you send your kids to Sunday School.",Ghostbusters: Afterlife
17,17,CubsandCulture,Nostalgia Porn,1/10,26 November 2021,"The film may be entertaining for some but it is crass exploitation of the human desire to hold onto the past. The film only exists to-grossly-re-affirm the alleged values and taste of the original film fans. It has no spark or identity outside of pandering to the base desires of unreasonable personsThis is a mere product. I'm not interested in a product crafted for reactionaries.
                
                    17 out of 69 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Ghostbusters: Afterlife
18,18,henry8-3,Ghostbusters: Afterlife,6/10,24 November 2021,"A mother (Carrie Coon) and her kids are evicted and have to move to small mid west town and into a property left to them by her father. Strange earth tremors are being felt and in exploring the property they find pieces of equipment belonging to the original Ghostbusters. The kids investigate further.Enjoyable enough romp mainly because of the performances by the kids, particularly McKenna Grace who is a fine young actress and shows great humour. There are some fine set pieces and a suitably spectacular climax. It does however borrow from the original too much as if needing to tick everything off a list and indeed the appearance of the original actors is fun, but spoils everything a bit. Fun though.",Ghostbusters: Afterlife
19,19,snoozejonc,Enjoyable tribute to Harold Ramis and the original,7/10,20 November 2021,"After Egon Spengler passes away his daughter and grandchildren inherit his Oklahoma farmhouse.'Ghostbusters Afterlife' is a tribute to the original movie with plenty of charm, but little originality.It will likely depend what you look for in a sequel as to how much enjoyment you could take from this instalment of the franchise. If you are looking for fan service, nostalgia, and a great send-off for the character Egon you will absolutely love it.Every scene that involves Egon's memory or that is connected to him is written with respect and love for Harold Ramis' character. This is for me the best aspect of the film and one scene near the end of the movie is quite emotional.Ramis almost lives and breaths through the character Pheobe played so well by McKenna Grace. She leads the movie wonderfully for large periods and together with Finn Wolfhard's character they look and feel like Egon's grandchildren.What makes the nostalgia cinematic are the props, costumes, vehicle, score and sound effects from the original movie. It is almost like going to a Hollywood studio museum and visiting a special Ghostbusters exhibition because of all the screen time allotted to PKE meters, traps, and various Easter eggs.Entwined with Egon's past is a revisited plot and antagonist from the original movie. This for me is mildly amusing but way too many identical moments from the original are repackaged. It would have been far better to do something new or at least not repeat so much detail.What I loved about the original was the humour centred around the main characters. Bill Murray only had to look a certain way at Ramis or Dan Ackroyd and it made me laugh. 99% of this movie is focussed on the new characters, mainly the children, and it is not as funny. This is not the fault of the actors as they do a good job with the material they have, but there is no substitute for that original chemistry that made it so special. When the surviving members of the original team take centre stage, that is when the magic truly feels to be happening. The best scene in the movie for me comes mid-credits with Sigourney Weaver's cameo.Carrie Coon and Paul Rudd give strong performances, but their roles are largely supportive to the children and serve as contrivances to the plot.Visually it is fantastic, with great cinematography and visual storytelling throughout. A lot of it is reminiscent of Spielberg in the 1980s and this heightens the nostalgia further. The visual effects and ghost horror is both thrilling and spectacular to look at, without being overdone.",Ghostbusters: Afterlife
20,20,Pairic,In Good Spirits!,7/10,26 November 2021,"Ghostbusters: Afterlife: An engaging sequel to the original films. It could have gone in a Stranger Things direction with it's two tweens and two teens or it could have went more into horror territory given it's darker Sumerian Mythos and killer God Gozer (who looks like Alvin Stardust) but that's not the demographic it was after I guess, it wanted to stay with a child friendly rating. We have that old horror film staple - cornfields, invisible ghosts chasing people through the stalks. It's good to see the old ghostmobile (Ecto-1) and weapons in action again, even if the pesky kids lay waste to a town while pursuing a ghost. It's no secret or spoiler (from the trailers and cast list) that the old Ghostbusters will put in an appearance but which one will e a ghost? Good effects and even a few dark scenes but G:A has a strong line of humour running through it. Delighted to see the little mallow ghosts! Directed/Co-written by Jason Reitman. 8/10.
                
                    1 out of 5 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Ghostbusters: Afterlife
21,21,MrFilmAndTelevisionShow,Ghostbusters: Afterlife,9/10,26 November 2021,"Absolutely amazing in my opinion, I described it as ""An classic film franchise remake done right"" The cast were great, so was the script, the fan service was perfectly sprinkled in but they didn't beat you over the head with it. There was no modern political nonsense forced into it which is great for a film as too often they have that nowadays. I thought it was funny as well and in general had great special effects too. The cameos of the original cast were so funny as well. I just really loved this film.",Ghostbusters: Afterlife
22,22,aidanratesmovies,Decent follow up to one of my favorite movies,8/10,20 November 2021,"Charming and nostalgic at times, with some cheap gimmicks throughout, Ghostbusters Afterlife is mostly the sequel to the original film that we deserved over the second film in 1989- and is thankfully saved due to its sense of wonder and lively atmosphere. First off I just have to say there are by no means anything I hated about this movie, but a lot of little things I felt certainly could have been better. For instance Finn Wolfhard just doesn't belong in this movie and it shows. His character has no real impact on the story other than driving a car, and his storyline with a possible love interest just feels useless and outdated. Young actor Logan Kim is also just rather annoying to watch throughout, and truly serves no purpose in the film other than to be a retired joke machine for younger members in the audience to laugh at. There are also some cheap mentions and callbacks of nostalgia throughout the film I felt were a bit unnecessary and shallow, although I admit they did put a smile on my face a time or two. Besides all that, I really enjoyed this movie, and i'm not just saying that. The film is incredibly entertaining from start to finish. Its ending is a bit climatic, but it's well worth the price, and honestly made me cry a little. Actress McKenna Grace and Actor Paul Rudd are a perfect fit for the film and exude charisma and charm all the way throughout. The special effects are incredibly well done, especially the CGI and Terror Dog animatronics, and the cinematography is an excellent blend of old and new. It was also quite wonderful to see our iconic characters return to their roles after so many years, and bring the charm we all once knew once again to the big screen. In the end, Ghostbusters Afterlife is nothing particularly remarkable or hilarious like the original- but it certainly shines in many aspects and proves to be quite a delightful follow up for these iconic characters and fans alike.My Rating: 7.8/10.",Ghostbusters: Afterlife
23,23,adamjohns-42575,Simply Brilliant!,9/10,24 November 2021,"This is it! This is the long awaited sequel the fans were all waiting for and deserved (What? No, nothing relevant occurred in 2016, let's pretend that whole year never happened), it's what we actually wanted as not some vain attempt to be Politically Correct at the cost of the content.I have to say that It will be difficult to review this one without spoilers, but I will do the best that I can.Firstly I loved the cast, I think that they were all exactly who they needed to be. Paul Rudd is the perfect comedy man, complimented by Podcast and I know I'm obviously in love with Paul, but even walking through the supermarket he made me laugh.McKenna Grace as Phoebe is fantastic, a very talented young lady that will go far, I mean she already has if you look at her back catalogue, but I firmly believe that she is here to stay.I also thought that Logan Kim as Podcast did a great job of embodying a half Corey Feldman/half Data (Ke Huy Quan) character from 'The Goonies' (1985).In fact it's easy to see this film as a mash up of 'The Goonies' and 'Ghostbusters' (1984) with a little 'Jumanji' (1995) thrown in for good measure.I certainly think that, although the lead cast is younger, it will still appeal to the kids of the 80's as well as bring in the newer 'Stranger Things' (2016-) audiences too.The special effects pay homage to the originals. It's not easy to tell if they are CGI or models, which is why it's so good, but they capture the same looks perfectly. I even think the setting was a good idea, New York has been slightly overused for this idea now.I do wonder if the ending somewhat demeans the events of the rest of the film, but I personally loved it regardless.There are plenty of ""Easter Eggs"" and repeated jokes to look out for too, so keep your eyes peeled.Overall I found it to be Joyous, I couldn't help but smile all the way through it. The thought that was put in to it and the consideration to produce a film worthy of the title is apparent. An appropriate and authentic tale to continue and, if the final after credits trailer is ignored, an ending to the fantastic series (2016 didn't happen after all).I would actually love to see it continue, but only if it's done properly. This would be a perfect place to stop it though. We've had our Ghostbusters sequel, now we can petition for the other films we want- Thundercats (Live Action), Beetlejuice 2, Kenobi and all the others.Emotional, funny and thoughtful, a tribute to the fans and others too.",Ghostbusters: Afterlife
24,24,masonsaul,Incredibly heartfelt reboot,9/10,19 November 2021,"Ghostbusters: Afterlife is an incredibly heartfelt reboot that's extremely heartwarming, emotional and funny whilst treating the original with respect. It also has plenty of satisfying callbacks, even if it's narrative is basically the same as the original.Mckenna Grace gives an incredible lead performance and Paul Rudd, Celeste O'Connor, Logan Kim, Finn Wolfhard and Carrie Coon all give great supporting performances and have strong chemistry.Jason Reitman's direction is fantastic, it's extremely well filmed and superbly paced. The CG is consistently excellent and there's some impressive practical effects too. Both the music by Rob Simonsen and the soundtrack are both really good.
                
                    44 out of 61 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Ghostbusters: Afterlife
